ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Dictionary Categories",_wp_page_template,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Section 1","Section 2","Section 3","Section 4","Section 5","Section 6","Machine Picture",Machine,"Work Place",Date,Purpose,Feedback,Comment,"Short Content",URL,Category,Picture,"PDF File",Contact,"Header sub title",Menu,Footer,"Background for custom post type"
4868,"Basket ตัวกระเช้า","ตัวกระเช้าอยู่ข้างบน สำหรับให้คนขึ้นไปทำงานที่สูง",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/basket/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,basket,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4869,"BCI (Battery Charger Indicator) ตัวแสดงระดับแบตเตอรี่",รถกระเช้าไฟฟ้าจะมีไฟโชว์แสดงว่าแบตเตอรี่เหลือเท่าไหร่,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/bci-battery-charger-indicator/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,bci-battery-charger-indicator,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4870,"Bolt น๊อต","ใช้สำหรับขัน ยึด อุปกรณ์",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/bolt/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,bolt,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4871,"Boom บูม",บูมที่ยกขึ้นหรือหดได้,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4872,"Boom Angle Sensor อุปกรณ์ตรวจสอบองศาของบูม",รถกระเช้าจะมีเซนเซอร์เพื่อคิดองศาของบูมเวลาทำงาน,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-angle-sensor/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-angle-sensor,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4873,"Boom Elevation ยกบูมขึ้น",,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-elevation/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-elevation,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4874,"Boom Length Sensor อุปกรณ์ตรวจสอความยาวของบูม",รถกระเช้ามีระบบเซฟตี้วัดเมื่อเวลายืดบูมหดบูม,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-length-sensor/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-length-sensor,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4875,"Boom Lift บูมลิฟท์","รถกระเช้าที่เหมาะสำหรับการทำงานที่มีระยะเอื้อม สามารถขับเคลื่อนได้ด้วยตัวเอง",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-lift/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-lift,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4876,"Boom Rotation การหมุนของบูม","บูมสามารถหมุนได้ 360องศา",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-rotation/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-rotation,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4877,"Boom Telescopic รถกระเช้าแขนบูมตรง","รถกระเช้าที่สามารถยืดบูมตรงได้อย่างเดียว แต่ถ้ามีสิ่งของขสางอยู่ไม่สามารถทำงานได้",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/boom-telescopic/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,boom-telescopic,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4878,"Bracket โลหะฉาก",สำหรับติดตั้งเพื่อรับรองผยุงหรือค้ำยัน,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/bracket/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,bracket,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4879,"Brush Motor มอเตอร์ แปรงถ่าน","ถ้าไม่มีแปรงถ่านมอเตอร์จะไม่ทำงาน และถ้าตัวทุ่นไม่เท่ากันแปรงถ่านก็จะไม่ทำงาน",,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/brush-motor/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,brush-motor,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4880,"Calibrate การสอบเทียบเครื่องมือวัด",การวัดค่าเครื่องมือที่ใช้งานให้มีมาตรฐาน,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/calibrate/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,calibrate,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4881,"Check Valve วาล์วกันย้อนกลับ","คืออุปกรณ์ในระบบการไหล ทำหน้าที่ควบคุมให้น้ำไหลไปในทิศทางเดียว ป้องกันไม่ให้น้ำมันไหลย้อนกลับเมื่อปั๊มน้ำหยุดทำงาน ใช้ติดตั้งคู่กับปั๊มน้ำ เพื่อป้องกันไม่ให้น้ำไหลย้อนกลับเข้าตัวปั๊มเมื่อไม่มีการเปิดใช้น้ำ",,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/check-valve/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,check-valve,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4882,"Connector ตัวเชื่อม","เป็นลักษณะตัวเชื่อมต่อระหว่างสายตัวผู้กับตัวเมีย ปลั๊กตัวผู้มาเสียบต่อ โดยจำนวนรูเท่ากับขาของปลั๊กตัวคู่กัน",,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/connector/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,connector,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4883,"Contactor Drive คอนแท็คขับเคลื่อน","ตัวควบคุมมอเตอร์ ไดรฟ์ ให้ขยับ เลี้ยวได้",,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/contactor-drive/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,contactor-drive,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4884,"Counter Balance Valve วาล์วป้องกันลิฟท์ไหล",,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/counter-balance-valve/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,counter-balance-valve,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4885,"CPU Board",เมนบอร์ด,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/cpu-board/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,cpu-board,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4886,"Creep Switch อุปกรณ์ปรับความเร็ว",ตัวปรับความเร็วแขนบูม,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/creep-switch/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,creep-switch,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4887,"Cylinder กระบอกไฮดรอลิค",,,"2023-01-21 09:58:15",dictionary,https://token-thailand.unddev.net/dict/cylinder/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,cylinder,,default,0,0,0,open,open,"2023-01-21 09:58:15",,,,,,,,,,,,,,,,,,,,,,,
4888,"DC (Direct Current) กระแสตรง","ที่ไฟฟ้าจะไหลไปในทิศทางเดียวและไม่ไหลกลับ เช่น ไฟฟ้าที่ได้จากถ่านไฟฉาย แบตเตอรี่ของรถยนต์ เป็นต้น",,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/dc-direct-current/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,dc-direct-current,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4889,"Decale การกำหนด (ตัวสติกเกอร์)",การกำหนดทิศทางของโปรแกรมหรือคำสั่ง,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/decale/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,decale,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4890,"Diameter เส้นผ่าศูนย์กลาง",เส้นผ่าศูนย์กลางของเฟืองล้อ,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/diameter/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,diameter,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4891,"Diode หลอดอิเล็กตรอน (ไดโอด)","อุปกรณ์ทางอิเล็กทรอนิกส์ซึ่งมีขั้วไฟฟ้า 2 ขั้นยอมให้กระแสไหลผ่านได้ทางเดียวใช้เป็นเครื่องแปลงไฟฟ้ากระแสสลับให้เป็นไฟฟ้ากระแสตรง โดยมีหลายชนิด",,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/diode/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,diode,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4892,"Drawing การวาดภาพ",การเขียนแบบ,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/drawing/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,drawing,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4893,"Drive Motor",มอเตอร์ในการขับเคลื่อนให้รถเดินหน้าถอยหลัง,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/drive-motor/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,drive-motor,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4894,"Electric Cable สายไฟ",,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/electric-cable/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,electric-cable,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4895,"Electric Circuit วงจรไฟฟ้า","วงจรไฟฟ้า, ตัวนำไฟฟ้าหรือระบบของตัวนำไฟฟ้า  ซึ่งนำมาต่อกันเพื่อให้กระแสไฟฟ้าผ่านได้ ",,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/electric-circuit/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,electric-circuit,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4896,"Element ไส้กรอง",กรองฟิวส์เตอร์,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/element/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,element,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4897,"Emergency Pump ปั้มฉุกเฉิน",มอเตอร์สำรองที่ใช้สำหรับเก็บบูม,,"2023-01-21 09:58:19",dictionary,https://token-thailand.unddev.net/dict/emergency-pump/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,emergency-pump,,default,0,0,0,open,open,"2023-01-21 09:58:19",,,,,,,,,,,,,,,,,,,,,,,
4898,"Emergenecy Switch สวิทซ์ฉุกเฉิน","หากมีเหตุฉุกเฉิน ให้ปิดสวิทซ์ทันที (สวิทซ์หัวสีแดง)",,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/emergenecy-switch/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,emergenecy-switch,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4899,"Engine Oil 15W40 น้ำมันเครื่อง",ใช้กับรถกระเช้ากับบูมที่เป็นรุ่นเครื่องยนต์ดีเซลเท่านั้น,,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/engine-oil-15w40/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,engine-oil-15w40,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4900,"Extend boom บูมชุดยืด",ยืดบูม,,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/extend-boom/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,extend-boom,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4901,"Filter ตัวกรอง",ไส้กรอง,,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/filter/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,filter,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4902,"Fitting ฟิตติ้ง",ข้อต่อสายไฮโดรลิค,,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/fitting/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,fitting,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4903,Foot,"1ฟุต = 30.48ซม. เป็นที่นิยทสำหรับคนอเมริกา",,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/foot/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,foot,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4904,"Foot Switch ฟุตสวิทย์","รถกระเช้ามีระบบเซฟตี้ เวลาใช้งานบังคับให้เหยียบที่ตัวบังคับFoot switch",,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/foot-switch/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,foot-switch,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4905,"Form Tire","บูมลิฟท์มักจะใช้ยางโฟม ยูรีเทน อัดเข้าไปไม่ให้ยางแบน",,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/form-tire/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,form-tire,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4906,"Fuel Filter กรองน้ำมันเบนซิน","กรองน้ำมัน ดักจับเศษผงไม่ให้เข้าตัวเครื่อง",,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/fuel-filter/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,fuel-filter,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4907,"Fuel Pump (AC Pump) ปั้มAC",,,"2023-01-21 09:58:23",dictionary,https://token-thailand.unddev.net/dict/fuel-pump-ac-pump/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,fuel-pump-ac-pump,,default,0,0,0,open,open,"2023-01-21 09:58:23",,,,,,,,,,,,,,,,,,,,,,,
4908,"Function Motor มอเตอร์ฟังก์ชั่น",ตัวปั่นปั้มน้ำมันไฮโดรลิคฟังก์ชั่น,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/function-motor/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,function-motor,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4909,"Fuse ฟิวส์",อุปกรณ์ไฟฟ้าชนิดหนึ่งทำด้วยโลหะที่มีจุดหลอมเหลวต่ำ,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/fuse/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,fuse,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4910,"G Con กล่องคอนโทรลด้านล่าง","ตัวกรรไกรของจีนี่สามารถบังคับข้างบน,ข้างล่างได้ ข้างบนเรียก P Con ข้างล่างเรียก G Con",,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/g-con/,,,,,,,,,,"Scissors Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,g-con,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4911,"Gasket วงแหวนอัดลูกสูบ",วงแหวนสำหรับอัดข้อต่อในเครื่องจักร,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/gasket/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,gasket,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4912,"Gear Oil 80W90 น้ำมันเกียร์",รถกระเช้าส่วนใหญ่ใช้น้ำมันเกียร์รุ่นนี้,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/gear-oil-80w90/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,gear-oil-80w90,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4913,"Grease จาระบี",ของเหลวที่ใช้หล่อลื่น,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/grease/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,grease,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4914,"Ground Earth กราวน์",,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/ground-earth/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,ground-earth,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4915,"Harness สายไฟ",,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/harness/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,harness,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4916,"Hiab Crane รถเฮี๊ยบ",รถเฮี๊ยบที่ติดตั้งเครน,,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/hiab-crane/,,,,,,,,,,"Truck Crane",default,publish,4,token,contact@tas-c.com,Token,Thailand,hiab-crane,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4917,Highrider,"บางเจ้าเรียก Sky MasterหรือHigh Rider คือรถบรรทุกติดกระเช้าลักษณะคล้ายรถของการไฟฟ้า",,"2023-01-21 09:58:27",dictionary,https://token-thailand.unddev.net/dict/highrider/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,highrider,,default,0,0,0,open,open,"2023-01-21 09:58:27",,,,,,,,,,,,,,,,,,,,,,,
4918,"Hour Meter มิเตอร์วัดชั่วโมงการทำงาน",มิเตอร์วัดชั่วโมงการทำงานของลิฟท์,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/hour-meter/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,hour-meter,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4919,"Hydralic Hose สายไฮโดรลิค",,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/hydralic-hose/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,hydralic-hose,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4920,"Hydraulic Oil 46 น้ำมันไฮโดรลิค","น้ำมันไฮดรอลิคที่ใช้มาตรฐาน 46คือความเหนียว",,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/hydraulic-oil-46/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,hydraulic-oil-46,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4921,"Hydraulic Pump ปั้มไฮโดรลิค",ปั้มที่ติดกับมอเตอร์ฟังก์ชั่น,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/hydraulic-pump/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,hydraulic-pump,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
